OBJECTID,STATEFP,COUNTYFP,GEOID,NAME,Lat,Lon,Avg_PercentBlackorAfricanAmericanalone,Avg_PercentAmericanIndian_AlaskaNative,Avg_PercentAsian,Avg_PercentNativeHawaiianPacific,Avg_PercentTwoOrMoreRaces,Avg_PercentWhite,Avg_PercentHispanicLatino,Avg_PercentOtherRaces,Avg_PercentAgeUnder10,Avg_PercentAge10To64,Avg_PercentAgeOver64,Avg_TotalThresholdCriteriaExceeded,Avg_TotalCategoriesExceeded,Avg_PercentageOfTractThatIsDisadvantagedByArea,Avg_ShareOfNeighborsThatAreIdentifiedAsDisadvantaged,Avg_TotalPopulation,Avg_AdjustedPercentOfIndividualsBelow200pctFederalPovertyLine,Avg_AdjustedPercentOfIndividualsBelow200pctFederalPovertyLine_1,Avg_ExpectedAgriculturalLossRatePct,Avg_ExpectedAgriculturalLossRateIndex,Avg_ExpectedBuildingLossRatePct,Avg_ExpectedBuildingLossRateIndex,Avg_ExpectedPopulationLossRatePct,Avg_ExpectedPopulationLossRateIndex,Avg_ShareOfPropertiesAtRiskOfFloodIn30YearsPct,Avg_ShareOfPropertiesAtRiskOfFloodIn30Years,Avg_ShareOfPropertiesAtRiskOfFireIn30YearsPct,Avg_ShareOfPropertiesAtRiskOfFireIn30Years,Avg_EnergyBurdenPct,Avg_EnergyBurden,Avg_PM25InAirPct,Avg_PM25InAir,Avg_DieselParticulateMatterExposurePct,Avg_DieselParticulateMatterExposure,Avg_TrafficProximityAndVolumePct,Avg_TrafficProximityAndVolume,Avg_DOTTravelBarriersScorePct,Avg_HousingBurdenPctile,Avg_HousingBurdenPct,Avg_PercentPre1960sHousingLeadPaintPctile,Avg_PercentPre1960sHousingLeadPaintIndicator,Avg_MedianDolValueOfOwnerOccupiedHousingUnitsPctile,Avg_MedianDolValueOfOwnerOccupiedHousingUnits,Avg_ShareOfTheTractLandAreaThatIsCoveredByImperviousSurfaceOrCro,Avg_ShareOfTheTractLandAreaCoveredByImperviousSurfaceOrCroplandA,Avg_ShareOfHomesWithNoKitchenOrIndoorPlumbingPctile,Avg_ShareHomesWithNoKitchenOrIndoorPlumbingPct,Avg_Proximity2HazardousWasteSitesPct,Avg_Proximity2HazardousWasteSites,Avg_Proximity2NPLSuperfundSitesPctile,Avg_Proximity2NPLSuperfundSites,Avg_Proximity2RiskManagementPlanFacilitiesPctile,Avg_Proximity2RiskManagementPlanFacilities,Avg_WastewaterDischargePctile,Avg_WastewaterDischarge,Avg_LeakyUndergroundStorageTanksPctile,Avg_LeakyUndergroundStorageTanks,Avg_CurrentAsthmaAmongAdultsAgedGreaterThanOrEqualTo18YearsPctil,Avg_CurrentAsthmaAmongAdultsAgedGreaterThanOrEqualTo18Years,Avg_DiagnosedDiabetesAmongAdultsAgedGreaterThanOrEqualTo18YearsP,Avg_DiagnosedDiabetesAmongAdultsAgedGreaterThanOrEqualTo18Years,Avg_CoronaryHeartDiseaseAmongAdultsAgedGreaterThanOrEqualTo18Yea,Avg_CoronaryHeartDiseaseAmongAdultsAgedGreaterThanOrEqualTo18Y_1,Avg_LowLifeExpectancyPctile,Avg_LifeExpectancyYears,Avg_LowMedianHouseholdIncomeAsAPercentOfAreaMedianIncomePctile,Avg_MedianHouseholdIncomeAsAPercentOfAreaMedianIncome,Avg_LinguisticIsolationPctPctile,Avg_LinguisticIsolationPctile,Avg_UnemploymentPctPctile,Avg_UnemploymentPct,Avg_PercentOfIndividualsBelow200PctFederalPovertyLinePctile,Avg_PercentOfIndividualsBelow200PctFederalPovertyLine,Avg_PercentOfIndividualsLt10oPctFederalPovertyLinePctile,Avg_PercentOfIndividualsLt100PctFederalPovertyLine,Avg_PercentIndividualsAge25OrOverWithLessThanHighSchoolDegreePct,Avg_PercentIndividualsAge25OrOverWithLessThanHighSchoolDegree,Avg_PercentOfResidentsWhoAreNotCurrentlyEnrolledInHigherEd,Avg_UnemploymentPctIn2009IslandAnd2010StatesAndPR,Avg_PercentageHouseholdsBelow100PctOfFederalPovertyLineIn2009Isl
1,31,39,31039,Cuming,41.9158651,-96.7885168,0,0,0,0,0.01,0.89,0.08,0.026666667,0.116666667,0.653333333,0.213333333,0,0,10.66666667,6.666666667,2984,0.23,0.23,63,0.2728,86,0.065566667,93,0.0011,69,11.66666667,57.33333333,0.333333333,73.33333333,3.666666667,22,7.51,10,0.083333333,20.66666667,63.99666667,29.33333333,9,10,77.33333333,54.33333333,24.33333333,120166.6667,8466,96.33333333,0.886666667,0.026666667,21,0.21,16.66666667,0.013333333,70,1.313333333,57,0,29.33333333,1.463333333,14,820,54.66666667,1083.333333,77,763.3333333,25.66666667,80.96333333,49,94,42.33333333,1.666666667,23.66666667,2.333333333,43.66666667,27,29,6.666666667,49,10.33333333,95.33333333,1.333333333,11.33333333
2,53,69,53069,Wahkiakum,46.2946377,-123.4244583,0.01,0,0.01,0,0.01,0.86,0.06,0.03,0.08,0.57,0.33,0,0,0,14,4268,0.22,0.22,38,0.0474,99,1.5242,99,0.0182,94,38,33,0,52,3,6,6.26,5,0.06,12,23.85,89,24,15,58,32,56,218800,116,2,0.69,0.01,49,0.75,26,0.02,29,0.16,32,0,11,0.06,70,1040,72,1250,85,830,51,78.4,74,72,35,0,75,7,39,25,30,7,40,7,96,7,12
3,35,11,35011,De Baca,34.3592729,-104.3686961,0.01,0,0,0,0.08,0.44,0.53,0.22,0.13,0.67,0.19,2,2,100,100,2040,0.47,0.47,81,0.7792,87,0.0704,50,0.0002,55,8,87,82,86,4,1,5.11,4,0.05,25,80.94,37,45,21,70,45,19,106300,91,1,0.21,0,1,0.01,3,0,1,0.01,4,0,21,0.25,52,969,87,1490,92,919,69,76.5,82,63,46,1,88,10,81,50,64,16,70,15,96,0,21
4,31,109,31109,Lancaster,40.7835474,-96.6886584,0.040810811,0.005,0.040540541,0.00027027,0.032702703,0.791216216,0.072162162,0.013108108,0.113108108,0.744324324,0.128243243,0.77027027,0.635135135,18.91891892,17.89189189,4231.864865,0.161351351,0.161351351,40.92727273,0.121751351,84.7027027,0.066375676,90.97260274,0.001047297,32.22972973,5.067567568,49.55405405,11.89189189,41.95714286,2.3,37.31081081,8.138513514,45.24324324,0.223243243,69.95945946,1057.554189,18.54794521,46.54285714,23.34285714,41.41891892,25.43243243,41.87142857,184160,5159.391892,67.01351351,0.505857143,0.008142857,62.36486486,2.091756757,20.02702703,0.018378378,68.40540541,1.367972973,38.7037037,0.024259259,68.44594595,9.513648649,29.02702703,879.2702703,21.64864865,791.2702703,25.58108108,456.527027,42.29230769,79.26446154,45.18571429,107.0285714,46.3943662,2.61971831,26.42253521,2.816901408,45.73239437,31.11267606,46.77464789,13.92957746,30.72972973,6.662162162,84.60810811,4.041666667,15.87671233
5,31,129,31129,Nuckolls,40.1764918,-98.0468422,0,0,0.015,0,0,0.94,0.02,0,0.105,0.62,0.26,2,1.5,100,62.5,2122,0.325,0.325,87,1.2679,95,0.1479,92.5,0.00105,55,9,54,6,87,5,13,6.96,8.5,0.075,0,0,63,24.5,15,81.5,60.5,5,67350,6318.5,83,0.21,0,3.5,0.02,15.5,0.015,76.5,1.235,48,0,25.5,0.675,17,835,77,1315,93.5,959.5,52.5,78,72,73,12,0,10,1,60,35.5,45.5,10.5,39.5,7.5,96.5,2.5,17
6,72,85,72085,Las Piedras,18.1871483,-65.871189,0.758333333,0,0,0,0.005,0,0.991666667,0.005,0.091666667,0.721666667,0.173333333,1.666666667,1.5,100,100,6249.833333,0.681666667,0.681666667,0,0,0,0,0,0,50,8.333333333,0,0,78.33333333,4,0,0,3.5,0.043333333,41.83333333,311.39,0,33.16666667,17.66666667,22.5,7.166666667,20.66666667,110483.3333,0,0,0.86,0.025,58.66666667,1.476666667,77,0.143333333,35.33333333,0.201666667,19.8,0,2,0,0,0,0,0,0,0,0,0,41,102.1666667,0,63.5,88.83333333,14,96.5,75.66666667,95.5,42.66666667,82,22.83333333,92.16666667,16.66666667,48.16666667
7,46,99,46099,Minnehaha,43.6674723,-96.7957261,0.05452381,0.017142857,0.016428571,0,0.025238095,0.817619048,0.047380952,0.01047619,0.139285714,0.720238095,0.125,0.547619048,0.5,33.33333333,34.73809524,4492.238095,0.214047619,0.214047619,54.74285714,0.391616667,83.45238095,0.055145238,97.23809524,0.002254762,25.57142857,3.428571429,63.14285714,28.07142857,29.76190476,1.738095238,4.80952381,6.090952381,37.97619048,0.192619048,52.19047619,514.9495238,21.16666667,39.45238095,19.97619048,44.4047619,26.47619048,42.42857143,179266.6667,5048.02381,65.16666667,0.465238095,0.005714286,40.57142857,0.675714286,7.738095238,0.00952381,56.47619048,0.83452381,69.0952381,0.033095238,53.64285714,3.163333333,17,826.0952381,22.5,807.2619048,32.23809524,498.9761905,43.025,79.22425,49,98,44.57142857,1.976190476,23.80952381,2.452380952,42.47619048,27.52380952,39.02380952,9.833333333,34.45238095,7.404761905,93.35714286,3.095238095,9.071428571
8,48,327,48327,Menard,30.8852677,-99.8588613,0,0,0,0,0.08,0.54,0.41,0.1,0.05,0.63,0.31,9,5,100,37,2119,0.38,0.38,91,1.6992,91,0.0858,96,0.0016,81,17,95,97,95,6,26,7.68,2,0.03,0,0,96,15,13,66,40,3,59300,156,2,0.93,0.03,1,0.01,2,0,1,0.01,18,0,12,0.07,22,860,92,1670,95,990,1,86.4,86,58,87,10,32,3,66,39,56,13,83,22,99,8,18
9,6,91,6091,Sierra,39.5769252,-120.5219926,0,0.01,0,0,0,0.87,0.1,0,0.09,0.61,0.29,0,0,0,27,3040,0.28,0.28,99,9.8393,98,0.2972,77,0.0005,89,24,89,87,91,5,19,7.38,1,0.02,3,2.52,74,58,25,56,30,59,231400,114,2,0.21,0,5,0.03,16,0.01,4,0.04,9,0,9,0.03,54,980,69,1220,83,810,4,84.9,77,69,12,0,56,5,52,31,41,9,38,7,96,9,10
10,21,53,21053,Clinton,36.7272577,-85.1360977,0.003333333,0,0,0,0.013333333,0.943333333,0.02,0.006666667,0.116666667,0.686666667,0.183333333,2.666666667,1.666666667,100,100,3397.666667,0.523333333,0.523333333,66.66666667,0.348433333,76.66666667,0.0383,81.33333333,0.0006,1,0,51,0,76,3.666666667,24,7.586666667,9.666666667,0.076666667,3.333333333,3.776666667,76.66666667,38.33333333,19.33333333,41,17.66666667,7.666666667,75633.33333,1864.333333,23.33333333,0.433333333,0,5,0.023333333,4.333333333,0.003333333,24.33333333,0.14,16.66666667,0,16.66666667,0.156666667,85.33333333,1130,91.66666667,1660,97.66666667,1096.666667,86.66666667,73.66333333,82.33333333,62,35.33333333,0.666666667,59.66666667,5.333333333,87.33333333,56.66666667,80,23.66666667,89,26.33333333,94.66666667,10,28.33333333
11,39,63,39063,Hancock,41.0004711,-83.6660335,0.012307692,0,0.014615385,0,0.022307692,0.883846154,0.050769231,0.013076923,0.118461538,0.703076923,0.160769231,0.230769231,0.153846154,7.692307692,15.15384615,5833.615385,0.204615385,0.204615385,50,0.137946154,82.76923077,0.069746154,58.61538462,0.000207692,55.46153846,11.15384615,33,0,59.30769231,3,57.07692308,8.817692308,44.07692308,0.216923077,36.23076923,207.1461538,39.15384615,31.61538462,17.23076923,64.38461538,41.23076923,30.76923077,139930.7692,6443.153846,80.15384615,0.586923077,0.009230769,35.84615385,0.426923077,13,0.010769231,68.30769231,1.063076923,38.30769231,0.06,44.46153846,2.004615385,53.69230769,983,51.61538462,1066.769231,56.84615385,639.9230769,47.69230769,78.59846154,41.23076923,104.5384615,38.30769231,1.076923077,30.38461538,2.923076923,43.23076923,28,44.15384615,10.84615385,37.15384615,7.153846154,92.07692308,5.230769231,11.15384615
12,48,189,48189,Hale,34.0684364,-101.8228879,0.036666667,0.002222222,0,0,0.035555556,0.328888889,0.6,0.031111111,0.136666667,0.723333333,0.127777778,1.333333333,1.333333333,66.66666667,59.44444444,3758.444444,0.361111111,0.361111111,78.33333333,0.688566667,84.11111111,0.057644444,85.77777778,0.000811111,34.77777778,5.444444444,78.22222222,33.55555556,56.66666667,2.777777778,13.44444444,6.99,12.44444444,0.085555556,30.25,131.34875,46.33333333,24.77777778,15,68.77777778,45.22222222,12,86222.22222,5476.777778,70.22222222,0.66,0.014444444,3.333333333,0.017777778,12.44444444,0.01,90.88888889,2.474444444,11,0,40.22222222,1.455555556,24.44444444,865.5555556,75.66666667,1355.444444,59.44444444,652.2222222,55.22222222,77.82111111,70.44444444,74.33333333,76.22222222,6.666666667,46.22222222,4.333333333,68.33333333,41.88888889,62.88888889,15.66666667,83.22222222,24.33333333,93.66666667,3.888888889,19.22222222
13,1,27,1027,Clay,33.2703999,-85.8635254,0.1375,0.0025,0,0,0.0025,0.81,0.03,0,0.0975,0.685,0.2075,2.5,2.25,100,78,3334.25,0.4175,0.4175,79.5,0.75845,73.5,0.033625,83,0.0006,70,12,84,67.25,85.5,4.5,52.75,8.6725,10.25,0.0825,0,0,97,17,12.75,48.5,23.75,16,98175,338.75,5,0.6975,0.0075,39,0.58,22,0.0175,24.25,0.17,43,0,16.5,0.1775,71.5,1062.5,86.25,1537.25,90.5,929.75,82,74.595,63.75,79.75,16.25,0,54.75,5.25,72.75,44.75,67,19,83.25,24.75,96.5,8.5,18.5
14,48,11,48011,Armstrong,34.964179,-101.3566363,0,0.01,0,0,0.03,0.89,0.07,0.02,0.1,0.67,0.21,0,0,0,33,1973,0.15,0.15,98,6.3257,90,0.0805,94,0.0012,27,4,83,63,32,2,8,6.48,4,0.05,33,133.84,68,7,10,66,40,31,139700,1994,25,0.21,0,7,0.03,32,0.03,84,1.51,3,0,5,0,24,869,67,1190,78,760,1,86.2,19,130,41,1,3,1,36,24,39,9,63,13,91,1,10
15,39,3,39003,Allen,40.7716274,-84.1061032,0.143636364,0.001818182,0.005151515,0,0.037575758,0.764242424,0.029393939,0.007575758,0.122424242,0.701515152,0.15969697,2.333333333,1.454545455,42.42424242,41,3126.515152,0.293939394,0.293939394,37.08333333,0.047357576,56.33333333,0.017860606,16.96969697,6.06061E-06,31.93939394,4.575757576,33,0,73.75757576,3.96969697,64.24242424,9.063636364,48,0.238181818,33.66666667,191.2021212,52.09090909,43.93939394,22.45454545,72.36363636,51.66666667,18.39393939,100830.303,5533.484848,70.39393939,0.578181818,0.016363636,60.03030303,2.317878788,9.787878788,0.01,79.45454545,2.137272727,63.15625,0.01625,44.84848485,2.065151515,63.96969697,1059.545455,72.75757576,1343.030303,76.78787879,775.3636364,58.6,76.88233333,49.42424242,96.60606061,23.51515152,0.212121212,51.57575758,5.757575758,54.57575758,36.48484848,52.39393939,16.18181818,47.42424242,10.78787879,92.45454545,9.515151515,19.42424242
16,13,189,13189,McDuffie,33.4796231,-82.4787331,0.364,0,0.002,0.008,0.016,0.564,0.022,0.018,0.134,0.676,0.174,1,1,80,71.6,4291,0.382,0.382,0,0,65.6,0.02456,78.8,0.0005,29.2,4.2,55.2,0.4,83.2,4.4,59.4,8.892,23,0.128,26.8,110.7,85.2,55.2,25.8,36.4,14.4,23.4,117760,769.6,10.2,0.312,0,31.8,0.378,23,0.02,42.2,0.332,28.8,0,47.2,2.28,70.6,1056,83.4,1500,80.4,793.8,84.4,74.036,62.4,81.8,35.4,0.6,59.4,5.6,68.8,42.2,71,21.6,69.6,15.6,95.6,6.4,19
17,55,111,55111,Sauk,43.428001,-89.9433184,0.003846154,0.006923077,0.002307692,0,0.017692308,0.900769231,0.054615385,0.010769231,0.122307692,0.69,0.172307692,0.153846154,0.153846154,7.692307692,7,4917.076923,0.226923077,0.226923077,69.07692308,0.553092308,60.69230769,0.022284615,71.07692308,0.000338462,74.76923077,14.84615385,33,0,46.61538462,2.461538462,21.15384615,7.456153846,13.53846154,0.092307692,35.58333333,197.7075,50.53846154,44.61538462,21.61538462,56.46153846,31.84615385,46.23076923,184546.1538,3923.615385,50.84615385,0.613846154,0.01,28.92307692,0.49,52.69230769,0.071538462,53.38461538,0.850769231,31.76923077,0,33.38461538,1.540769231,49.23076923,962.8461538,27.23076923,864.5384615,52.07692308,607.6923077,36.76923077,80.19769231,44.53846154,98.76923077,38.76923077,0.692307692,23.84615385,2.307692308,41.76923077,26.69230769,39.53846154,9.538461538,45.46153846,8.923076923,95.61538462,3.846153846,9.615384615
18,5,137,5137,Stone,35.8570011,-92.1404819,0,0.003333333,0,0,0.01,0.95,0.01,0,0.096666667,0.643333333,0.243333333,5.666666667,4,100,100,4158.333333,0.426666667,0.426666667,78.66666667,0.747933333,94,0.1263,95,0.0014,72.66666667,13,83,61.66666667,91.33333333,5.666666667,46,8.45,6.666666667,0.066666667,0,0,83,24,15.33333333,26,8,24,120000,123,1.666666667,0.86,0.023333333,5.666666667,0.03,4.333333333,0,3,0.03,14.33333333,0,10.66666667,0.123333333,63.33333333,1013,83,1443,96,1059.666667,87.33333333,73.56333333,64.33333333,80,16.66666667,0,61,7.333333333,76,46,68.66666667,17.66666667,71.66666667,16.66666667,96.33333333,3,22
19,41,63,41063,Wallowa,45.593753,-117.1855796,0,0.006666667,0,0,0.02,0.923333333,0.026666667,0.006666667,0.096666667,0.613333333,0.276666667,1.666666667,1,66.66666667,42.66666667,2334.666667,0.32,0.32,64.66666667,0.3018,91.66666667,0.102,88.33333333,0.002566667,88.33333333,25.33333333,83.66666667,66.66666667,72.33333333,3.666666667,6,6.233333333,0,0.01,25.33333333,88.66333333,48,54.66666667,24.33333333,66.33333333,40.66666667,58.33333333,234233.3333,587.6666667,8.333333333,0.553333333,0.006666667,1,0.01,2,0,1,0.013333333,17,0,13.66666667,0.18,71.66666667,1046.666667,59.66666667,1123.333333,85.66666667,836.6666667,46,78.89333333,64,80.66666667,22,0.333333333,43.33333333,4,57.33333333,34.66666667,56.33333333,13.33333333,33.66666667,6.333333333,97,10,12.33333333
20,42,7,42007,Beaver,40.6841401,-80.3507209,0.064117647,0.000196078,0.003529412,0.000196078,0.025294118,0.876666667,0.012941176,0.002352941,0.099411765,0.682745098,0.20372549,1.039215686,0.68627451,23.52941176,20.56862745,3251.627451,0.246666667,0.246666667,27.7027027,0.027460784,44.64705882,0.015329412,27.2745098,6.86275E-05,47.01960784,9.431372549,33,0,67.58823529,3.607843137,66.37254902,9.133921569,40.31372549,0.200588235,40.18,278.82,51.84313725,42.01960784,20.82352941,77.1372549,57.05882353,26.68627451,127303.9216,2730.921569,35.33333333,0.51254902,0.007843137,53.58823529,1.247058824,41.23529412,0.045490196,50.76470588,0.459019608,70.8627451,0.086862745,38.88235294,1.521176471,78.41176471,1110.137255,52.62745098,1102.254902,69.39215686,725.2941176,57.22,77.2014,52.01960784,92.74509804,24.96078431,0.294117647,46.41176471,4.764705882,45.92156863,29.90196078,43.47058824,11.92156863,35.25490196,6.921568627,94.31372549,5.509803922,11.68627451
21,28,61,28061,Jasper,32.0169894,-89.1194302,0.555,0,0,0,0.0025,0.4275,0.0025,0.0025,0.1275,0.67,0.19,3.75,3.5,100,90,4126.25,0.4175,0.4175,80.25,0.755925,93.75,0.121575,75.75,0.000425,72.25,12.75,80,44.25,87.75,5,72.5,9.3675,8.75,0.0775,3.5,6.01,84,32.75,16.75,35.5,14,10,83150,158.25,2.25,0.81,0.02,7.5,0.04,5.25,0.0075,21.5,0.1325,41.25,0,21.25,0.4075,75,1067.25,90,1647.5,84.25,822.5,78,74.575,65.25,79.25,12,0,56.25,4.75,77,48,76.25,21.25,68.25,14.75,93.75,4.75,20
