OBJECTID_1,STATEFP,COUNTYFP,GEOID,NAME,Lat,Lon,Date_,TempK
1,2,185,2185,North Slope,69.4493427,-153.4728302,6/20/2016 0:00,278.5999756
2,2,188,2188,Northwest Arctic,67.0050655,-160.0210864,6/20/2016 0:00,281.8999939
3,2,290,2290,Yukon-Koyukuk,65.3757271,-151.5778496,6/20/2016 0:00,283.6000061
4,2,180,2180,Nome,64.7836858,-164.1889119,6/20/2016 0:00,279.375
5,2,90,2090,Fairbanks North Star,64.6760436,-146.5481586,6/20/2016 0:00,283.2249756
6,2,68,2068,Denali,63.6820386,-150.0270164,6/20/2016 0:00,281.25
7,2,240,2240,Southeast Fairbanks,63.8649972,-143.2186282,6/20/2016 0:00,281
8,2,158,2158,Kusilvak,62.2835878,-163.1901714,6/20/2016 0:00,282.9750061
9,2,50,2050,Bethel,60.9291413,-160.1526246,6/20/2016 0:00,283.7000122
10,2,170,2170,Matanuska-Susitna,62.2790939,-149.6190939,6/20/2016 0:00,279.9500122
11,2,20,2020,Anchorage,61.1742503,-149.2843294,6/20/2016 0:00,279.5249939
12,2,261,2261,Valdez-Cordova,61.3498403,-145.0231406,6/20/2016 0:00,279.1749878
13,2,70,2070,Dillingham,59.5433255,-158.2671226,6/20/2016 0:00,283.1499939
14,2,164,2164,Lake and Peninsula,58.1085067,-156.4134134,6/20/2016 0:00,281.7000122
15,2,122,2122,Kenai Peninsula,60.3666677,-152.3222833,6/20/2016 0:00,273.5249939
16,2,282,2282,Yakutat,60.0174528,-140.416942,6/20/2016 0:00,276.5750122
17,2,230,2230,Skagway,59.5603794,-135.3382787,6/20/2016 0:00,279.2250061
18,2,60,2060,Bristol Bay,58.7416473,-156.9669094,6/20/2016 0:00,283.0750122
19,2,150,2150,Kodiak Island,57.7044003,-153.9183721,6/20/2016 0:00,284.2749939
20,2,100,2100,Haines,59.0984037,-135.5757906,6/20/2016 0:00,281.125
21,2,105,2105,Hoonah-Angoon,58.2534617,-136.3207314,6/20/2016 0:00,281.125
22,2,110,2110,Juneau,58.3729099,-134.1784454,6/20/2016 0:00,273.3500061
23,2,220,2220,Sitka,57.1932044,-135.3673965,6/20/2016 0:00,283.3500061
24,2,198,2198,Prince of Wales-Hyder,55.6827733,-133.1623885,6/20/2016 0:00,281.4500122
25,2,195,2195,Petersburg,57.1124581,-133.0085979,6/20/2016 0:00,281.4500122
26,2,130,2130,Ketchikan Gateway,55.4499378,-131.1066847,6/20/2016 0:00,271.2750244
27,2,275,2275,Wrangell,56.317416,-132.343978,6/20/2016 0:00,271.2750244
28,2,13,2013,Aleutians East,55.2450437,-161.9974772,6/20/2016 0:00,282.1499939
29,2,16,2016,Aleutians West,51.948964,179.6211882,6/20/2016 0:00,280.3250122
30,53,31,53031,Jefferson,47.8053465,-123.5271357,6/20/2016 0:00,288.75
31,53,9,53009,Clallam,48.1109034,-123.8898599,6/20/2016 0:00,288.75
32,53,55,53055,San Juan,48.5071904,-123.1037693,6/20/2016 0:00,288.75
33,53,61,53061,Snohomish,48.070464,-121.936784,6/20/2016 0:00,288.2249756
34,53,29,53029,Island,48.1585538,-122.6706492,6/20/2016 0:00,288.2249756
35,53,73,53073,Whatcom,48.8426531,-121.8364325,6/20/2016 0:00,288.2249756
